0:0:0:0:0:0:0:1 - - [16/May/2021:21:57:53 +0530] "GET /ORS3/controller/Marksheet_Controller HTTP/1.1" 200 12859
0:0:0:0:0:0:0:1 - - [16/May/2021:21:58:04 +0530] "GET /ORS3/controller/Course_Controller HTTP/1.1" 200 11325
0:0:0:0:0:0:0:1 - - [16/May/2021:21:58:09 +0530] "GET /ORS3/controller/Student_Controller HTTP/1.1" 200 12587
0:0:0:0:0:0:0:1 - - [16/May/2021:21:58:15 +0530] "GET /ORS3/controller/Subject_Controller HTTP/1.1" 200 11383
0:0:0:0:0:0:0:1 - - [16/May/2021:21:58:24 +0530] "GET /ORS3/controller/TimeTable_Controller HTTP/1.1" 200 12451
0:0:0:0:0:0:0:1 - - [16/May/2021:21:58:30 +0530] "POST /ORS3/controller/TimeTable_Controller HTTP/1.1" 200 12764
0:0:0:0:0:0:0:1 - - [16/May/2021:21:59:46 +0530] "GET /ORS3/controller/MarksheetMeritList_Controller HTTP/1.1" 200 13543
0:0:0:0:0:0:0:1 - - [16/May/2021:21:59:46 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:22:00:13 +0530] "GET /ORS3/controller/MarksheetMeritList_Controller HTTP/1.1" 200 13543
0:0:0:0:0:0:0:1 - - [16/May/2021:22:00:13 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [16/May/2021:22:00:13 +0530] "GET /ORS3/images/RaysLogo.png HTTP/1.1" 200 9310
0:0:0:0:0:0:0:1 - - [16/May/2021:22:00:14 +0530] "GET /ORS3/images/Bg.jpg HTTP/1.1" 200 4272576
0:0:0:0:0:0:0:1 - - [16/May/2021:22:00:15 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [16/May/2021:22:19:19 +0530] "GET /ORS3/controller/MarksheetMeritList_Controller HTTP/1.1" 200 13843
0:0:0:0:0:0:0:1 - - [16/May/2021:22:19:19 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [16/May/2021:22:19:19 +0530] "GET /ORS3/images/RaysLogo.png HTTP/1.1" 200 9310
0:0:0:0:0:0:0:1 - - [16/May/2021:22:19:20 +0530] "GET /ORS3/images/Bg.jpg HTTP/1.1" 200 4272576
0:0:0:0:0:0:0:1 - - [16/May/2021:22:19:22 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [16/May/2021:22:20:09 +0530] "GET /ORS3/controller/GetMarksheet_Controller HTTP/1.1" 200 10753
0:0:0:0:0:0:0:1 - - [16/May/2021:22:20:25 +0530] "GET /ORS3/controller/MarksheetList_Controller HTTP/1.1" 200 16607
0:0:0:0:0:0:0:1 - - [16/May/2021:22:20:42 +0530] "GET /ORS3/controller/MyProfile_Controller HTTP/1.1" 200 12378
0:0:0:0:0:0:0:1 - - [16/May/2021:22:20:53 +0530] "GET /ORS3/Login_Controller?operation=logout HTTP/1.1" 200 5496
0:0:0:0:0:0:0:1 - - [16/May/2021:22:20:59 +0530] "GET /ORS3/ForgetPassword_Controller HTTP/1.1" 200 4821
0:0:0:0:0:0:0:1 - - [16/May/2021:22:21:12 +0530] "GET /ORS3/UserRegistration_Controller HTTP/1.1" 200 6619
0:0:0:0:0:0:0:1 - - [16/May/2021:22:38:41 +0530] "GET /ORS3/Login_Controller HTTP/1.1" 200 5270
0:0:0:0:0:0:0:1 - - [16/May/2021:22:38:41 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:22:38:48 +0530] "POST /ORS3/Login_Controller HTTP/1.1" 200 9630
0:0:0:0:0:0:0:1 - - [16/May/2021:22:39:18 +0530] "GET /ORS3/controller/UserList_Controller HTTP/1.1" 200 18837
0:0:0:0:0:0:0:1 - - [16/May/2021:22:54:18 +0530] "GET /ORS3/controller/UserList_Controller HTTP/1.1" 200 18837
0:0:0:0:0:0:0:1 - - [16/May/2021:22:54:19 +0530] "GET /ORS3/web-pages/StyleSheet.css HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [16/May/2021:22:54:19 +0530] "GET /ORS3/images/RaysLogo.png HTTP/1.1" 200 9310
0:0:0:0:0:0:0:1 - - [16/May/2021:22:54:20 +0530] "GET /ORS3/images/Bg.jpg HTTP/1.1" 200 4272576
0:0:0:0:0:0:0:1 - - [16/May/2021:22:54:21 +0530] "GET /favicon.ico HTTP/1.1" 404 720
